SPEAKER,SENTENCE,DOMAINID,DOMAIN,CATEGORY,SPEAKERID,SENTENCEID,MAIN,SUB,QA,QACNCT,MQ,SQ,UA,SA,개체명,용어사전,지식베이스,
고객,오버워치 pc방 이벤트 하나요?,H,관광여가오락,pc방,1,5,이벤트 상품 문의,,Q,,오버워치 pc방 이벤트 하나요?,,,,"오버워치, pc방, 이벤트",이벤트/행사,"오버워치/게임명, pc방/업소명",
점원,네 지금 이벤트 기간입니다,H,관광여가오락,pc방,0,6,이벤트 상품 문의,,A,,,,,네 지금 이벤트 기간입니다,"이벤트, 기간",이벤트/행사,,
고객,10시간 충전하면 얼마인가요?,H,관광여가오락,pc방,1,7,이용 가격 문의,,Q,,10시간 충전하면 얼마인가요?,,,,"10시간, 충전",,"10시간/이용시간, 충전/이용방법",
점원,10000원입니다,H,관광여가오락,pc방,0,8,이용 가격 문의,,A,,,,,10000원입니다,10000원,,10000원/이용가격,
고객,10시간 충전 시 3시간 무료 이벤트 하나요?,H,관광여가오락,pc방,1,9,이벤트 상품 문의,,Q,,10시간 충전 시 3시간 무료 이벤트 하나요?,,,,"10시간, 충전, 3시간, 무료, 이벤트",이벤트/행사,"10시간/이용시간, 충전/이용방법",
점원,합니다,H,관광여가오락,pc방,0,10,이벤트 상품 문의,,A,,,,,합니다,,,,
고객,정액권 종류가 어떻게 돼요?,H,관광여가오락,pc방,1,1,정액권 문의,,Q,,정액권 종류가 어떻게 돼요?,,,,"정액권, 종류",,정액권/정액제,
점원,10시간 20시간이 있습니다,H,관광여가오락,pc방,0,2,정액권 문의,,A,,,,,10시간 20시간이 있습니다,"10시간, 20시간",,"10시간/이용시간, 20시간/이용시간",
고객,20시간짜리 하나 만들어주세요,H,관광여가오락,pc방,1,3,정액권 요청,,Q,,20시간짜리 하나 만들어주세요,,,,"20시간, 하나",,"20시간/이용시간, 하나/수량",
점원,여깄습니다,H,관광여가오락,pc방,0,4,정액권 요청,,A,,,,,여깄습니다,,,,
고객,지하에 주차하면 무료인가요?,H,관광여가오락,pc방,1,5,주차 요금 문의,,Q,,지하에 주차하면 무료인가요?,,,,"지하, 주차, 무료",,,
점원,네 무료입니다,H,관광여가오락,pc방,0,6,주차 요금 문의,,A,,,,,네 무료입니다,무료,,,
고객,음료는 어떻게 주문하나요?,H,관광여가오락,pc방,1,7,음식 주문 방법 문의,,Q,,음료는 어떻게 주문하나요?,,,,"음료, 주문",,,
점원,자리에서 화면으로 주문해주세요,H,관광여가오락,pc방,0,8,음식 주문 방법 문의,,A,,,,,자리에서 화면으로 주문해주세요,"자리, 화면, 주문",,자리/이용석,
고객,와이파이 있나요?,H,관광여가오락,pc방,1,9,무선 인터넷 문의,,Q,,와이파이 있나요?,,,,와이파이,와이파이/무선인터넷,,
점원,네 있습니다,H,관광여가오락,pc방,0,10,무선 인터넷 문의,,A,,,,,네 있습니다,,,,
고객,여기 한 시간에 얼마에요?,H,관광여가오락,pc방,1,1,이용 가격 문의,,Q,,여기 한 시간에 얼마에요?,,,,한 시간,,한 시간/이용시간,
점원,천 원입니다,H,관광여가오락,pc방,0,2,이용 가격 문의,,A,,,,,천 원입니다,천 원,,천 원/이용가격,
고객,한 시간만 하고 갈게요,H,관광여가오락,pc방,1,3,이용 요청,,Q,,한 시간만 하고 갈게요,,,,시간,,,
점원,충전은 저쪽 기계에서 해주세요,H,관광여가오락,pc방,0,4,무인시스템 이용 문의,,A,,,,,충전은 저쪽 기계에서 해주세요,"충전, 기계",,"충전/이용방법, 기계/이용수단",
고객,튀김 가락국수는 얼마에요?,H,관광여가오락,pc방,1,5,음식 가격 문의,,Q,,튀김 가락국수는 얼마에요?,,,,튀김 가락국수,,튀김 가락국수/음식메뉴종류,
점원,1500원입니다,H,관광여가오락,pc방,0,6,음식 가격 문의,,A,,,,,1500원입니다,1500원,,1500원/음식가격,
고객,이것도 하나 살게요,H,관광여가오락,pc방,1,7,음식 주문 요청,,Q,,이것도 하나 살게요,,,,하나,,하나/수량,
점원,네 자리 잡으시고 메시지 보내주시면 갖다 드리겠습니다,H,관광여가오락,pc방,0,8,음식 주문 방법 문의,,A,,,,,네 자리 잡으시고 메시지 보내주시면 갖다 드리겠습니다,"자리, 메시지",,"자리/이용석, 메시지/주문수단",
고객,혹시 핫바도 파나요?,H,관광여가오락,pc방,1,9,음식 주문 문의,,Q,,혹시 핫바도 파나요?,,,,핫바,,핫바/음식메뉴종류,
점원,네 손님 뒤쪽에 있습니다,H,관광여가오락,pc방,0,10,음식 주문 문의,,A,,,,,네 손님 뒤쪽에 있습니다,"손님, 뒤쪽",,뒤쪽/방향,
고객,금연 자리로 주세요,H,관광여가오락,pc방,1,1,금연석 문의,,Q,,금연 자리로 주세요,,,,"금연, 자리",,자리/이용석,
점원,네 결제는 나가실 때 해주시기 바랍니다,H,관광여가오락,pc방,0,2,금연석 문의,,A,,,,,네 결제는 나가실 때 해주시기 바랍니다,결제,,,
고객,빈자리에 앉으면 되나요,H,관광여가오락,pc방,1,3,이용 방법 문의,,Q,,빈자리에 앉으면 되나요,,,,자리,,자리/이용석,
점원,네 비번 드릴게요,H,관광여가오락,pc방,0,4,이용 방법 문의,,A,,,,,네 비번 드릴게요,비번,비번/비밀번호,,
고객,콜라 하나 먼저 주세요,H,관광여가오락,pc방,1,5,음식 주문 요청,,Q,,콜라 하나 먼저 주세요,,,,"콜라, 하나",,"콜라/음식메뉴종류, 하나/수량",
점원,네 이따가 같이 계산해 주세요,H,관광여가오락,pc방,0,6,선후불 문의,,A,,,,,네 이따가 같이 계산해 주세요,계산,,,
고객,라면 하나 삼각김밥도 주문해도 될까요?,H,관광여가오락,pc방,1,7,음식 주문 문의,,Q,,라면 하나 삼각김밥도 주문해도 될까요?,,,,"라면, 하나, 삼각김밥, 주문",,"라면/음식메뉴종류, 하나/수량, 삼각김밥/음식메뉴종류",
점원,네 자리에 갖다 드릴게요,H,관광여가오락,pc방,0,8,음식 주문 문의,,A,,,,,네 자리에 갖다 드릴게요,자리,,자리/이용석,
고객,감사합니다,H,관광여가오락,pc방,1,9,음식 주문 문의,,A,,,,감사합니다,,,,,
점원,필요하신 거 있으면 PC에서 주문해주세요,H,관광여가오락,pc방,0,10,음식 주문 방법 문의,,A,,,,,필요하신 거 있으면 PC에서 주문해주세요,"PC, 주문",PC/컴퓨터,,
고객,회원제인가요?,H,관광여가오락,pc방,1,1,이용 방법 문의,,Q,,회원제인가요?,,,,회원제,,회원제/멤버십,
점원,네 회원가입 후 이용하시면 됩니다,H,관광여가오락,pc방,0,2,이용 방법 문의,,A,,,,,네 회원가입 후 이용하시면 됩니다,회원 가입,,회원가입/멤버십,
고객,시간당 얼마인가요?,H,관광여가오락,pc방,1,3,이용 가격 문의,,Q,,시간당 얼마인가요?,,,,시간,,,
점원,시간당 천 원입니다,H,관광여가오락,pc방,0,4,이용 가격 문의,,A,,,,,시간당 천 원입니다,"시간, 천 원",,천 원/이용가격,
고객,커플석 있나요?,H,관광여가오락,pc방,1,5,커플석 문의,,Q,,커플석 있나요?,,,,커플석,,커플석/이용석,
점원,네 있습니다,H,관광여가오락,pc방,0,6,커플석 문의,,A,,,,,네 있습니다,,,,
고객,돈가스 판매하나요?,H,관광여가오락,pc방,1,7,음식 주문 문의,,Q,,돈가스 판매하나요?,,,,"돈가스, 판매",,돈가스/음식메뉴종류,
점원,아니요 판매하지 않습니다,H,관광여가오락,pc방,0,8,음식 주문 문의,,A,,,,,아니요 판매하지 않습니다,판매,,,
고객,흡연부스 있나요?,H,관광여가오락,pc방,1,9,흡연실 위치 문의,,Q,,흡연부스 있나요?,,,,흡연 부스,,흡연부스/이용시설,
점원,네 있습니다,H,관광여가오락,pc방,0,10,흡연실 위치 문의,,A,,,,,네 있습니다,,,,
고객,여기서 프린트 가능한가요?,H,관광여가오락,pc방,1,1,프린트 이용 문의,,Q,,여기서 프린트 가능한가요?,,,,프린트,,프린트/인쇄,
점원,네 그런데 인쇄요금과 별도로 이용요금은 1시간으로 내셔야 합니다,H,관광여가오락,pc방,0,2,프린트 이용 문의,,A,,,,,네 그런데 인쇄 요금과 별도로 이용요금은 1시간으로 내셔야 합니다,"인쇄, 요금, 이용, 1시간",요금/가격,1시간/이용시간,
고객,네 컬러 인쇄도 가능한가요?,H,관광여가오락,pc방,1,3,프린트 이용 문의,,Q,,네 컬러 인쇄도 가능한가요?,,,,"컬러, 인쇄",,컬러/색상,
점원,네 흑백은 50원 컬러는 100원입니다 필요하신 프로그램이 있나요?,H,관광여가오락,pc방,0,4,프린트 이용 문의,,A,,,,,네 흑백은 50원 컬러는 100원입니다 필요하신 프로그램이 있나요?,"흑백, 50원 컬러, 100원, 프로그램",,"흑백/인쇄색상, 50원/이용가격, 컬러/인쇄색상, 100원/이용가격",
고객,PDF 뷰어가 필요한데 컴퓨터에 설치되어있나요?,H,관광여가오락,pc방,1,5,특정 프로그램 설치 문의,,Q,,PDF 뷰어가 필요한데 컴퓨터에 설치되어있나요?,,,,"PDF 뷰어, 컴퓨터, 설치",,PDF 뷰어/컴퓨터프로그램프로그램,
점원,아니요 필요하시면 체험판을 설치해드릴게요,H,관광여가오락,pc방,0,6,특정 프로그램 설치 문의,,A,,,,,아니요 필요하시면 체험판을 설치해드릴게요,"체험판, 설치",,체험판/컴퓨터프로그램프로그램,
고객,컴퓨터는 아무거나 사용해도 되나요?,H,관광여가오락,pc방,1,7,이용 방법 문의,,Q,,컴퓨터는 아무거나 사용해도 되나요?,,,,"컴퓨터, 사용",,,
점원,네 편하신 자리를 사용하세요 여기 비회원 카드입니다,H,관광여가오락,pc방,0,8,이용 방법 문의,,A,,,,,네 편하신 자리를 사용하세요 여기 비회원 카드입니다,,,,
고객,이 카드는 어떻게 사용하죠?,H,관광여가오락,pc방,1,9,이용 방법 문의,,Q,,이 카드는 어떻게 사용하죠?,,,,"카드, 사용",,카드/이용수단,
점원,컴퓨터를 켜시고 나오는 화면에 카드 번호를 입력하시면 됩니다,H,관광여가오락,pc방,0,10,이용 방법 문의,,A,,,,,컴퓨터를 켜시고 나오는 화면에 카드 번호를 입력하시면 됩니다,"컴퓨터, 화면, 카드, 번호, 입력",,카드/이용수단,
고객,한 시간에 얼마인가요?,H,관광여가오락,pc방,1,1,이용 가격 문의,,Q,,한 시간에 얼마인가요?,,,,한 시간,,한 시간/이용시간,
점원,1500원입니다,H,관광여가오락,pc방,0,2,이용 가격 문의,,A,,,,,1500원입니다,1500원,,1500원/이용가격,
고객,시간이 초과되면 PC가 바로 꺼지나요?,H,관광여가오락,pc방,1,3,이용 방법 문의,,Q,,시간이 초과되면 PC가 바로 꺼지나요?,,,,"시간, 초과, PC",PC/컴퓨터,,
점원,1시간 5분 전 팝업창이 뜰 거예요,H,관광여가오락,pc방,0,4,이용 방법 문의,,A,,,,,1시간 5분 전 팝업창이 뜰 거예요,"1시간 5분, 팝업창",,"1시간 5분/이용시간, 팝업창/컴퓨터프로그램",
고객,그럼 그때 연장 신청 가능한가요?,H,관광여가오락,pc방,1,5,이용 시간 연장,,Q,,그럼 그때 연장 신청 가능한가요?,,,,"연장, 신청",,,
점원,네,H,관광여가오락,pc방,0,6,이용 시간 연장,,A,,,,,네,,,,
고객,추가로는 어떻게 계산되나요?,H,관광여가오락,pc방,1,7,이용 가격 문의,,Q,,추가로는 어떻게 계산되나요?,,,,"추가, 계산",,,
점원,한 시간 이후부터 삼십분당 500원으로 계산됩니다,H,관광여가오락,pc방,0,8,이용 가격 문의,,A,,,,,한 시간 이후부터 삼십분당 500원으로 계산됩니다,"한 시간, 삼십분, 500원, 계산",,"한 시간/이용시간, 삼십분/이용시간, 500원/이용가격",
고객,어디에 앉으면 되나요?,H,관광여가오락,pc방,1,9,이용 방법 문의,,Q,,어디에 앉으면 되나요?,,,,,,,
점원,원하시는 곳에 앉으시면 됩니다,H,관광여가오락,pc방,0,10,이용 방법 문의,,A,,,,,원하시는 곳에 앉으시면 됩니다,,,,
고객,지금 3자리 붙어있는 자리는 없나요?,H,관광여가오락,pc방,1,1,단체석 문의,,Q,,지금 3자리 붙어있는 자리는 없나요?,,,,"3자리, 자리",,"3자리/이용석수량, 자리/이용석",
점원,복도 쪽에 사용자분 5분 남으셨어요,H,관광여가오락,pc방,0,2,단체석 문의,,A,,,,,복도 쪽에 사용자분 5분 남으셨어요,"복도 쪽, 사용자분, 5분",,"복도 쪽/방향, 사용자분/고객, 5분/이용시간",
고객,5분 기다렸다 3명 앉을게요,H,관광여가오락,pc방,1,3,이용 요청,,Q,,5분 기다렸다 3명 앉을게요,,,,"5분, 3명",,"5분/이용시간, 3명/인원",
점원,금액권은 앞에 기계에서 끊으시면 됩니다,H,관광여가오락,pc방,0,4,무인시스템 이용 문의,,A,,,,,금액권은 앞에 기계에서 끊으시면 됩니다,"금액권, 앞, 기계",,"금액권/이용수단, 앞/방향, 기계/이용수단",
고객,자리 하나에 헤드셋이 없는데요?,H,관광여가오락,pc방,1,5,특정 기기 문의,,Q,,자리하나에 헤드셋이 없는데요?,,,,"자리, 하나, 헤드셋",,"자리/이용석, 하나/수량, 헤드셋/주변기기",
점원,왼쪽에 헤드셋 하나 가져가셔서 사용하시면 됩니다,H,관광여가오락,pc방,0,6,특정 기기 문의,,A,,,,,왼쪽에 헤드셋 하나 가져가셔서 사용하시면 됩니다,"왼쪽, 헤드셋, 하나, 사용",,"왼쪽/방향, 헤드셋/주변기기, 하나/수량",
고객,화장실은 어느 쪽으로 가야 하죠,H,관광여가오락,pc방,1,7,화장실 위치 문의,,Q,,화장실은 어느 쪽으로 가야 하죠,,,,화장실,,화장실/이용시설,
점원,pc방 나가셔서 건물 왼쪽으로 가시면 됩니다,H,관광여가오락,pc방,0,8,화장실 위치 문의,,A,,,,,pc방 나가셔서 건물 왼쪽으로 가시면 됩니다,"pc방, 건물, 왼쪽",,"pc방/업소명, 왼쪽/방향",
고객,문은 안 잠겨있나요,H,관광여가오락,pc방,1,9,화장실 이용 문의,,Q,,문은 안 잠겨있나요,,,,문,,,
점원,네 사용 바로 하실 수 있습니다,H,관광여가오락,pc방,0,10,화장실 이용 문의,,A,,,,,네 사용 바로 하실 수 있습니다,사용,,,
고객,30분만 할 수 있나요?,H,관광여가오락,pc방,1,1,이용 방법 문의,,Q,,30분만 할 수 있나요?,,,,30분,,30분/이용시간,
점원,네 됩니다,H,관광여가오락,pc방,0,2,이용 방법 문의,,A,,,,,네 됩니다,,,,
고객,친구가 여기 있는데 옆에서 지켜보고 있어도 되나요?,H,관광여가오락,pc방,1,3,이용 방법 문의,,Q,,친구가 여기 있는데 옆에서 지켜보고 있어도 되나요?,,,,"친구, 옆",,옆/방향,
점원,사용료를 지불하시고 이용해 주세요,H,관광여가오락,pc방,0,4,선후불 문의,,A,,,,,사용료를 지불하시고 이용해 주세요,"사용료, 지불, 이용",,,
고객,프린터기 사용되나요?,H,관광여가오락,pc방,1,5,프린트 이용 문의,,Q,,프린터기 사용되나요?,,,,"프린터기, 사용",,프리터기/주변기기,
점원,네 됩니다,H,관광여가오락,pc방,0,6,프린트 이용 문의,,A,,,,,네 됩니다,,,,
고객,김치볶음밥 주문할게요,H,관광여가오락,pc방,1,7,음식 주문 요청,,Q,,김치볶음밥 주문할게요,,,,"김치볶음밥, 주문",,김치볶음밥/음식메뉴종류,
점원,네 10분 뒤에 자리로 가져다드릴게요,H,관광여가오락,pc방,0,8,음식 주문 요청,,A,,,,,네 10분 뒤에 자리로 가져다드릴게요,"10분 뒤, 자리",,"10분 뒤/대기시간, 자리/이용석",
고객,추가금은 나갈 때 지불해도 되나요?,H,관광여가오락,pc방,1,9,선후불 문의,,Q,,추가금은 나갈 때 지불해도 되나요?,,,,"추가금, 지불",,추가금/이용가격,
점원,네 됩니다,H,관광여가오락,pc방,0,10,선후불 문의,,A,,,,,네 됩니다,,,,
