"SPEAKER","SENTENCE","DOMAINID","DOMAIN","CATEGORY","SPEAKERID","SENTENCEID","MAIN","SUB","QA","QACNCT","MQ","SQ","UA","SA","개체명","용어사전","지식베이스","",""
"고객","수업은 뭘 하는데요?","C","학원","태권도","1","27","요일별운동내용문의","","Q","","수업은 뭘 하는데요?","","","","수업","","","",""
"점원","월 수 금은 줄넘기 수업하고 화목은 태권도 수업하고요","C","학원","태권도","0","28","요일별운동내용문의","","A","","","","","월 수 금은 줄넘기 수업하고 화목은 태권도 수업하고요","월, 수, 금, 줄넘기, 수업, 화, 목, 태권도","","월/요일, 수/요일, 금/요일, 줄넘기/과목, 수업, 화/요일, 목/요일, 태권도/과목","",""
"고객","저절로 다이어트되겠네요?","C","학원","태권도","1","29","수강후다이어트효과","","Q","","저절로 다이어트되겠네요?","","","","다이어트","","","",""
"점원","뭐든지 꾸준히 하는 게 중요하죠","C","학원","태권도","0","30","수강후다이어트효과","","A","","","","","뭐든지 꾸준히 하는 게 중요하죠","중요","","","",""
"고객","성인들은 많이 안 오고요?","C","학원","태권도","1","31","수강생구성문의","","Q","","성인들은 많이 안 오고요?","","","","성인","","","",""
"점원","성인들은 요즘 많이 없어요","C","학원","태권도","0","32","수강생구성문의","","A","","","","","성인들은 요즘 많이 없어요","성인, 요즘","","","",""
"점원","남학생이죠?","C","학원","태권도","0","33","상담문의","성별","Q","","","남학생이죠?","","","남학생","","남학생/성별","",""
"고객","네 남학생","C","학원","태권도","1","34","상담문의","성별","A","","","","네 남학생","","남학생","","남학생/성별","",""
"점원","학생이랑 얘기 해보시고 저녁에 한 번 들러주세요","C","학원","태권도","0","35","상담문의","방문요청","Q","","","학생이랑 얘기 해보시고 저녁에 한 번 들러주세요","","","학생, 저녁, 한 번","","학생/대상, 저녁/시간, 한 번/횟수","",""
"고객","네","C","학원","태권도","1","36","상담문의","방문요청","A","","","","네","","","","","",""
"고객","중학교 1학년인데 태권도 하려면 수강료가 얼마쯤?","C","학원","태권도","1","1","교육비문의","","Q","","중학교 1학년인데 태권도 하려면 수강료가 얼마쯤?","","","","중학교 1학년, 태권도, 수강료, 얼마","","중학교 1학년/대상, 태권도/과목","",""
"점원","1주일에 12만 원 입니다","C","학원","태권도","0","2","교육비문의","","A","","","","","1주일에 12만 원 입니다","1주일, 12만 원","","1주일/기간, 12만 원/금액","",""
"고객","며칠간?","C","학원","태권도","1","3","수업일수문의","","Q","","며칠간?","","","","며칠","","","",""
"점원","주 5일요","C","학원","태권도","0","4","수업일수문의","","A","","","","","주 5일요","주 5일","","주 5일/기간","",""
"고객","계속 태권도만 하나요 다른 것도 같이 하나요?","C","학원","태권도","1","5","프로그램문의","","Q","","계속 태권도만 하나요 다른 것도 같이 하나요?","","","","태권도","","태권도/과목","",""
"점원","9시부 같은 경우에는 태권도도 하고 겨루기도 하고 주짓수라든지 여러 가지 복합적으로 하는 편이에요","C","학원","태권도","0","6","프로그램문의","","A","","","","","9시부 같은 경우에는 태권도도 하고 겨루기도 하고 주짓수라든지 여러 가지 복합적으로 하는 편이에요","9시부, 태권도, 겨루기, 주짓수, 복합적","","9시부/반, 태권도/과목, 겨루기/과목, 주짓수/과목","",""
"고객","애들이 다 어린 것 같은데요?","C","학원","태권도","1","7","수강생구성문의","","Q","","애들이 다 어린 것 같은데요?","","","","애","","애/대상","",""
"점원","앞 부에는 초등학생들이고 저녁때만 중고등학생 운동하고 있거든요","C","학원","태권도","0","8","수강생구성문의","","A","","","","","앞 부에는 초등학생들이고 저녁때만 중고등학생 운동하고 있거든요","앞, 초등학생, 저녁, 중고등학생, 운동","","초등학생/대상, 저녁/시간, 중고등학생/대상","",""
"고객","저녁 몇 시부터?","C","학원","태권도","1","9","강의시간문의","","Q","","저녁 몇 시부터?","","","","저녁, 몇 시","","저녁/시간","",""
"점원","9시 수업하고 있습니다","C","학원","태권도","0","10","강의시간문의","","A","","","","","9시 수업하고 있습니다","9시, 수업","","9시/시작시간","",""
"고객","몇 시에 수업이 끝나요?","C","학원","태권도","1","11","강의시간문의","","Q","","몇 시에 수업이 끝나요?","","","","몇 시, 수업","","","",""
"점원","10시에 마칩니다","C","학원","태권도","0","12","강의시간문의","","A","","","","","10시에 마칩니다","10시","","10시/마감시간","",""
"고객","태권도 도복은?","C","학원","태권도","1","13","도복가격","","Q","","태권도 도복은?","","","","태권도 도복","","태권도 도복/복장","",""
"점원","3만 원에 별도 구매입니다","C","학원","태권도","0","14","도복가격","","A","","","","","3만 원에 별도 구매입니다","3만 원, 별도, 구매","","3만 원/금액","",""
"고객","여학생은 좀 있나요?","C","학원","태권도","1","15","수강생구성문의","","Q","","여학생은 좀 있나요?","","","","여학생","","여학생/성별","",""
"점원","여학생이 2명 정도 있어요","C","학원","태권도","0","16","수강생구성문의","","A","","","","","여학생이 2명 정도 있어요","여학생, 2명, 정도","","여학생/성별, 2명/인원","",""
"고객","남학생은 몇 명 있어요?","C","학원","태권도","1","17","수강생구성문의","","Q","","남학생은 몇 명 있어요?","","","","남학생, 몇 명","","남학생/성별","",""
"점원","남학생은 좀 많이 있어요","C","학원","태권도","0","18","수강생구성문의","","A","","","","","남학생은 좀 많이 있어요","남학생","","","",""
"고객","여학생 부는 별도로는 없죠?","C","학원","태권도","1","19","여학생부프로그램문의","","Q","","여학생 부는 별도로는 없죠?","","","","여학생 부, 별도","","여학생 부/반","",""
"점원","네 따로는 없습니다","C","학원","태권도","0","20","여학생부프로그램문의","","A","","","","","네 따로는 없습니다","","","","",""
"고객","저녁에 애 데리고 한 번 나와볼게요","C","학원","태권도","1","21","상담문의","","Q","","저녁에 애 데리고 한 번 나와볼게요","","","","저녁, 애, 한 번","","저녁/시간, 애/대상, 한 번/횟수","",""
"점원","네 연락주세요","C","학원","태권도","0","22","상담문의","","A","","","","","네 연락주세요","연락","","","",""
"고객","손자가 지금 6살이거든요 태권도 배울 수 있나 싶어가지고","C","학원","태권도","1","1","수강등록가능문의","","Q","","손자가 지금 6살이거든요 태권도 배울 수 있나 싶어가지고","","","","손자, 지금, 6살, 태권도","","손자/대상, 6살/대상, 태권도/과목","",""
"점원","배울 수는 있어요","C","학원","태권도","0","2","수강등록가능문의","","A","","","","","배울 수는 있어요","","","","",""
"고객","6살짜리가 좀 있나요?","C","학원","태권도","1","3","수강생구성문의","","Q","","6살짜리가 좀 있나요?","","","","6살","","6살/대상","",""
"점원","빠르게 시작하면 6살이고, 그 다음이 7살이에요","C","학원","태권도","0","4","수강생구성문의","","A","","","","","빠르게 시작하면 6살이고, 그 다음이 7살이에요","시작, 6살, 다음, 7살","","6살/대상, 7살/대상","",""
"고객","체험으로 몇 번 해볼 수도 있나요?","C","학원","태권도","1","5","테스트프로그램가능여부문의","","Q","","체험으로 몇 번 해볼 수도 있나요?","","","","체험, 몇 번","","","",""
"점원","6살 친구들 같은 경우에는 3일에서 1주일 정도 체험학습 해보고 가능하다 싶으면 그때 등록을 시킵니다","C","학원","태권도","0","6","테스트프로그램가능여부문의","","A","","","","","6살 친구들 같은 경우에는 3일에서 1주일 정도 체험학습 해보고 가능하다 싶으면 그때 등록을 시킵니다","6살 친구, 3일, 1주일, 정도, 체험학습, 가능, 등록","","6살 친구/대상, 3일/기간, 1주일/기간, 체험학습/수업내용","",""
"점원","집은 어디세요?","C","학원","태권도","0","7","상담문의","학생위치","Q","","","집은 어디세요?","","","집, 어디","","","",""
"고객","집은 바로 옆이에요","C","학원","태권도","1","8","상담문의","학생위치","A","","","","집은 바로 옆이에요","","집, 옆","","","",""
"점원","남자친구예요?","C","학원","태권도","0","9","상담문의","성별","Q","","","남자친구예요?","","","남자친구","","남자친구/성별","",""
"고객","네 남자애예요","C","학원","태권도","1","10","상담문의","성별","A","","","","네 남자애예요","","남자","","남자/성별","",""
"점원","어린이집 마치면 몇 시에요?","C","학원","태권도","0","11","상담문의","수강가능시간","Q","","","어린이집 마치면 몇 시에요?","","","어린이집, 몇 시","","","",""
"고객","2시쯤 돼요","C","학원","태권도","1","12","상담문의","수강가능시간","A","","","","2시쯤 돼요","","2시","","2시/시간","",""
"고객","얼마쯤 해요?","C","학원","태권도","1","13","교육비문의","","Q","","얼마쯤 해요?","","","","얼마","","","",""
"점원","수업료는 12만원이에요","C","학원","태권도","0","14","교육비문의","","A","","","","","수업료는 12만원이에요","수업료, 12만 원","","12만 원/금액","",""
"고객","수업료는 나이하고 상관 없는거에요?","C","학원","태권도","1","15","교육비문의","","Q","","수업료는 나이하고 상관 없는거에요?","","","","수업료, 나이, 상관","","","",""
"점원","네 나이하고 상관 없어요","C","학원","태권도","0","16","교육비문의","","A","","","","","네 나이하고 상관 없어요","나이, 상관","","","",""
"고객","애를 데리고 오려면 몇 시쯤 데리고 오면 돼요?","C","학원","태권도","1","17","방문시간문의","","Q","","애를 데리고 오려면 몇 시쯤 데리고 오면 돼요?","","","","애, 몇 시","","","",""
"점원","유치부 친구들이 제일 많은 시간이 3부 5시에서 6시 타임이에요","C","학원","태권도","0","18","방문시간문의","","A","","","","","유치부 친구들이 제일 많은 시간이 3부 5시에서 6시 타임이에요","유치부, 친구, 시간, 3부, 5시, 6시, 타임","","유치부/반, 3부/시간대, 5시/시작시간, 6시/마감시간","",""
"점원","그때 오시겠어요?","C","학원","태권도","0","19","방문시간문의","방문요청","Q","","","그때 오시겠어요?","","","","","","",""
"고객","네 월요일쯤 한 번 데리고 오겠습니다","C","학원","태권도","1","20","방문시간문의","방문요청","A","","","","네 월요일쯤 한 번 데리고 오겠습니다","","월요일, 한 번","","월요일/요일, 한 번/횟수","",""
"점원","명함 하나 드릴까요?","C","학원","태권도","0","21","팜플렛명함요청","팜플렛명함","Q","","","명함 하나 드릴까요?","","","명함, 하나","","","",""
"고객","네 명함 하나 주세요","C","학원","태권도","1","22","팜플렛명함요청","팜플렛명함","A","","","","네 명함 하나 주세요","","명함, 하나","","","",""
"점원","책자 하나 드릴까요?","C","학원","태권도","0","23","팜플렛명함요청","자료제공","Q","","","책자 하나 드릴까요?","","","책자, 하나","","","",""
"고객","책자는 놔두고","C","학원","태권도","1","24","팜플렛명함요청","자료제공","A","","","","책자는 놔두고","","책자","","","",""
"고객","토일은 쉬잖아요?","C","학원","태권도","1","25","학원방학휴일문의","","Q","","토일은 쉬잖아요?","","","","토, 일","","토/요일, 일/요일","",""
"점원","네 토일은 쉬어요","C","학원","태권도","0","26","학원방학휴일문의","","A","","","","","네 토일은 쉬어요","토, 일","","토/요일, 일/요일","",""
"고객","상담 좀 받으러 왔는데 지금은 몇 학년 수업이죠?","C","학원","태권도","1","1","학년별시간표문의","","Q","","상담 좀 받으러 왔는데 지금은 몇 학년 수업이죠?","","","","상담, 지금, 몇 학년, 수업","","","",""
"점원","지금은 고학년 친구들 슬라임 만들기 특강이라서요","C","학원","태권도","0","2","학년별시간표문의","","A","","","","","지금은 고학년 친구들 슬라임 만들기 특강이라서요","지금, 고학년, 친구, 슬라임 만들기, 특강","","고학년/대상, 슬라임 만들기/과목","",""
"고객","토요일도 해요?","C","학원","태권도","1","3","주말프로그램문의","","Q","","토요일도 해요?","","","","토요일","","토요일/요일","",""
"점원","토요일은 품띠따는 친구들 오전에 준비하는 수업하거나 특강으로 영화 보거나 체험 수업 위주로 많이 하고 있습니다","C","학원","태권도","0","4","주말프로그램문의","","A","","","","","토요일은 품띠따는 친구들 오전에 준비하는 수업하거나 특강으로 영화 보거나 체험 수업 위주로 많이 하고 있습니다","토요일, 품띠, 친구, 오전, 준비, 수업, 특강, 영화, 체험, 수업, 위주","","토요일/요일, 품띠/레벨, 오전/시간, 준비 수업/수업내용, 영화/수업, 체험 수업/수업","",""
"고객","다이어트로 태권도 하면 살이 좀 빠질까요?","C","학원","태권도","1","5","수강후다이어트효과","","Q","","다이어트로 태권도 하면 살이 좀 빠질까요?","","","","다이어트, 태권도, 살","","","",""
"점원","다이어트도 하고 요즘은 애들 줄넘기 수업 많이 하고요","C","학원","태권도","0","6","수강후다이어트효과","","A","","","","","다이어트도 하고 요즘은 애들 줄넘기 수업 많이 하고요","다이어트, 요즘, 줄넘기, 수업","","줄넘기/과목","",""
"고객","일주일에 줄넘기 계속하나요?","C","학원","태권도","1","7","프로그램문의","","Q","","일주일에 줄넘기 계속하나요?","","","","일주일, 줄넘기","","일주일/기간, 줄넘기/과목","",""
"점원","보통 태권도 3일 줄넘기 이틀 이렇게 하고 태권체조도 같이 하실 수 있어요 ","C","학원","태권도","0","8","프로그램문의","","A","","","","","보통 태권도 3일 줄넘기 이틀 이렇게 하고 태권체조도 같이 하실 수 있어요 ","보통, 태권도, 3일, 줄넘기, 이틀, 태권체조","","태권도/과목, 3일/기간, 줄넘기/과목, 이틀/기간, 태권체조/과목","",""
"고객","음악에 맞춰서 줄넘기하고?","C","학원","태권도","1","9","줄넘기수업문의","","Q","","음악에 맞춰서 줄넘기하고?","","","","음악, 줄넘기","","줄넘기/과목","",""
"점원","음악줄넘기는 애들 좋아해서 잘 따라 해요","C","학원","태권도","0","10","줄넘기수업문의","","A","","","","","음악줄넘기는 애들 좋아해서 잘 따라 해요","음악줄넘기","","음악줄넘기/과목","",""
"고객","중1 학생들 좀 있나요?","C","학원","태권도","1","11","수강생구성문의","","Q","","중1 학생들 좀 있나요?","","","","중1, 학생","","중1/대상","",""
"점원","좀 있어요","C","학원","태권도","0","12","수강생구성문의","","A","","","","","좀 있어요","","","","",""
"점원","체험수업 있어서 오시면 좋을 것 같아요","C","학원","태권도","0","13","테스트프로그램가능여부문의","체험권유","Q","","","체험수업 있어서 오시면 좋을 것 같아요","","","체험수업","","체험수업/수업내용","",""
"고객","오늘 데리고 올 걸 그랬네요","C","학원","태권도","1","14","테스트프로그램가능여부문의","체험권유","A","","","","오늘 데리고 올 걸 그랬네요","","오늘","","오늘/날짜","",""
"점원","남자친구예요?","C","학원","태권도","0","15","상담문의","성별","Q","","","남자친구예요?","","","남자친구","","남자친구/성별","",""
"고객","네 남자애요.","C","학원","태권도","1","16","상담문의","성별","A","","","","네 남자애요.","","남자","","남자/성별","",""
"고객","한 팀에 몇 명쯤 되나요?","C","학원","태권도","1","17","반별학생수문의","","Q","","한 팀에 몇 명쯤 되나요?","","","","한 팀, 몇 명","","","",""
"점원","15명에서 20명 정도에요","C","학원","태권도","0","18","반별학생수문의","","A","","","","","15명에서 20명 정도에요","15명, 20명, 정도","","15명/인원, 20명/인원","",""
"고객","제가 애를 데리고 한 번 나와볼게요","C","학원","태권도","1","19","상담문의","","Q","","제가 애를 데리고 한 번 나와볼게요","","","","애, 한 번","","","",""
"점원","전화 한 번 주시고 오시는게 좋을 것 같아요","C","학원","태권도","0","20","상담문의","방문전연락요청","Q","","","전화 한 번 주시고 오시는게 좋을 것 같아요","","","전화, 한 번","","","",""
"고객","네 전화 한 번 걸고 올게요","C","학원","태권도","1","21","상담문의","방문전연락요청","A","","","","네 전화 한 번 걸고 올게요","","전화, 한 번","","","",""
"고객","애가 중학교 1학년인데 여자애거든요. 태권도하면 다이어트도 되나요?","C","학원","태권도","1","1","수강후다이어트효과","","Q","","애가 중학교 1학년인데 여자애거든요. 태권도하면 다이어트도 되나요?","","","","중학교 1학년, 여자, 태권도, 다이어트","","중학교 1학년/대상, 여자/성별, 태권도/과목","",""
"점원","유산소운동도 되고 근력을 같이 하니까 안된다고 볼 수는 없죠 ","C","학원","태권도","0","2","수강후다이어트효과","","A","","","","","유산소운동도 되고 근력을 같이 하니까 안된다고 볼 수는 없죠 ","유산소운동, 근력","","유산소운동/수업내용, 근력/수업내용","",""
"고객","중학생은 몇 명쯤 되나요?","C","학원","태권도","1","3","수강생구성문의","","Q","","중학생은 몇 명쯤 되나요?","","","","중학생, 몇 명","","중학생/대상","",""
"점원","지금 인원은 한 열 명 정도요","C","학원","태권도","0","4","수강생구성문의","","A","","","","","지금 인원은 한 열 명 정도요","지금, 인원, 열 명, 정도","","열 명/인원","",""
"고객","거의 남학생이죠?","C","학원","태권도","1","5","수강생구성문의","","Q","","거의 남학생이죠?","","","","남학생","","남학생/성별","",""
"점원","네, 고등부 여자애가 하나 있고요","C","학원","태권도","0","6","수강생구성문의","","A","","","","","네, 고등부 여자애가 하나 있고요","고등부, 여자, 하나","","고등부/반, 여자/성별, 하나/인원","",""
"고객","많이 뚱뚱한데 왕따 당하고 그러진 않을까요?","C","학원","태권도","1","7","학생들과의트러블있을경우별도관리유무문의","","Q","","많이 뚱뚱한데 왕따 당하고 그러진 않을까요?","","","","왕따","","","",""
"점원","저희 애들은 그런 스타일은 아니거든요","C","학원","태권도","0","8","학생들과의트러블있을경우별도관리유무문의","","A","","","","","저희 애들은 그런 스타일은 아니거든요","스타일","","","",""
"점원","댁은 어디세요?","C","학원","태권도","0","9","상담문의","학생위치","Q","","","댁은 어디세요?","","","댁, 어디","","","",""
"고객","부근이에요","C","학원","태권도","1","10","상담문의","학생위치","A","","","","부근이에요","","부근","","","",""
"고객","저녁 8시부터다 그죠?","C","학원","태권도","1","11","학년별시간표문의","","Q","","저녁 8시부터다 그죠?","","","","저녁 8시","","저녁 8시/시간","",""
"점원","앞 타임에 6시 20분도 있는데 보통 8시 수업때 중고등부 다 오거든요","C","학원","태권도","0","12","학년별시간표문의","","A","","","","","앞 타임에 6시 20분도 있는데 보통 8시 수업때 중고등부 다 오거든요","앞, 타임, 6시 20분, 보통, 8시, 수업, 중고등부","","6시 20분/시간, 8시/시간, 중고등부/반","",""
"고객","지금 수업하는 애들은 몇 학년?","C","학원","태권도","1","13","학년별시간표문의","","Q","","지금 수업하는 애들은 몇 학년?","","","","지금, 수업, 학년","","","",""
"점원","초등학생이에요","C","학원","태권도","0","14","학년별시간표문의","","A","","","","","초등학생이에요","초등학생","","초등학생/대상","",""
"고객","얼마쯤 해요 수강료는?","C","학원","태권도","1","15","교육비문의","","Q","","얼마쯤 해요 수강료는?","","","","얼마, 수강료","","","",""
"점원","주 5일 하면 12만 원이에요","C","학원","태권도","0","16","교육비문의","","A","","","","","주 5일 하면 12만 원이에요","주 5일, 12만 원","","주 5일/기간, 12만 원/금액","",""
"고객","줄넘기도 적혀있던데 줄넘기도 하나요?","C","학원","태권도","1","17","줄넘기수업문의","","Q","","줄넘기도 적혀있던데 줄넘기도 하나요?","","","","줄넘기","","줄넘기/과목","",""
"점원","수련과정 중에 줄넘기를 이용해서 하는 것도 있고 훌라후프 가지고 발차기 연습하는 것도 있고 도미노 이용해서 발 모양 잡기라든지 이런 것도 있고요","C","학원","태권도","0","18","줄넘기수업문의","","A","","","","","수련과정 중에 줄넘기를 이용해서 하는 것도 있고 훌라후프 가지고 발차기 연습하는 것도 있고 도미노 이용해서 발 모양 잡기라든지 이런 것도 있고요","수련과정, 줄넘기, 이용, 훌라후프, 발차기, 연습, 도미노, 발, 모양","","줄넘기/교구, 훌라후프/교구, 발차기/수업내용, 도미노/교구","",""
"고객","별도로 살 빼기 위해서 더 시키고 이런 건 없고 똑같이 수업받죠?","C","학원","태권도","1","19","프로그램문의","","Q","","별도로 살 빼기 위해서 더 시키고 이런 건 없고 똑같이 수업받죠?","","","","별도, 살, 수업","","","",""
"점원","중 고등부는 강도가 좀 있는데 해보고 조금 더 강도를 늘려줄 수는 있어요","C","학원","태권도","0","20","프로그램문의","","A","","","","","중 고등부는 강도가 좀 있는데 해보고 조금 더 강도를 늘려줄 수는 있어요","중 고등부, 강도, 조금","","중 고등부/반","",""
"고객","데리고 한번 나와봐야겠다. 저녁 8시쯤에 데리고 오나요?","C","학원","태권도","1","21","방문시간문의","","Q","","데리고 한번 나와봐야겠다. 저녁 8시쯤에 데리고 오나요?","","","","한 번, 저녁 8시","","한 번/횟수, 저녁 8시/시간","",""
"점원","8시 수련이니까 7시쯤 오세요","C","학원","태권도","0","22","방문시간문의","","A","","","","","8시 수련이니까 7시쯤 오세요","8시, 수련, 7시","","8시/시간, 7시/시간","",""
"고객","중학교 2학년 여자애 다이어트 겸 태권도 배우려는데","C","학원","태권도","1","1","상담문의","","Q","","중학교 2학년 여자애 다이어트 겸 태권도 배우려는데","","","","중학교 2학년, 여자애, 다이어트, 태권도","","중학교 2학년/대상, 여자애/성별, 태권도/과목","",""
"점원","네 가능합니다","C","학원","태권도","0","2","상담문의","","A","","","","","네 가능합니다","가능","","","",""
"고객","중1 여학생은 몇 명쯤 돼요?","C","학원","태권도","1","3","수강생구성문의","","Q","","중1 여학생은 몇 명쯤 돼요?","","","","중1, 여학생, 몇 명","","중1/대상, 여학생/성별","",""
"점원","중학교 친구들은 지금 두 명 있는데 쉬고 있거든요","C","학원","태권도","0","4","수강생구성문의","","A","","","","","중학교 친구들은 지금 두 명 있는데 쉬고 있거든요","중학교 친구, 지금, 두 명","","중학교 친구/대상, 두 명/인원","",""
"고객","남학생은 많죠?","C","학원","태권도","1","5","수강생구성문의","","Q","","남학생은 많죠?","","","","남학생","","남학생/성별","",""
"점원","남학생은 없습니다","C","학원","태권도","0","6","수강생구성문의","","A","","","","","남학생은 없습니다","남학생","","남학생/성별","",""
"고객","중학생이 그럼 총 몇 명쯤?","C","학원","태권도","1","7","수강생구성문의","","Q","","중학생이 그럼 총 몇 명쯤?","","","","중학생, 몇 명","","중학생/대상","",""
"점원","다섯 명 정도요","C","학원","태권도","0","8","수강생구성문의","","A","","","","","다섯 명 정도요","다섯 명, 정도","","다섯 명/인원","",""
"고객","다 남학생이에요?","C","학원","태권도","1","9","수강생구성문의","","Q","","다 남학생이에요?","","","","남학생","","남학생/성별","",""
"점원","여학생도 있습니다 고등학생이 있고요","C","학원","태권도","0","10","수강생구성문의","","A","","","","","여학생도 있습니다 고등학생이 있고요","여학생, 고등학생","","여학생/성별, 고등학생/대상","",""
"고객","얘는 살 빼기니까 이거랑 이거랑 같이 해도 되겠죠?","C","학원","태권도","1","11","프로그램추천요청","","Q","","얘는 살 빼기니까 이거랑 이거랑 같이 해도 되겠죠?","","","","살, 이거","","","",""
"점원","태권도 하시고 줄넘기 하시면 좋을거 같아요","C","학원","태권도","0","12","프로그램추천요청","","A","","","","","태권도 하시고 줄넘기 하시면 좋을거 같아요","태권도, 줄넘기","","태권도/과목, 줄넘기/과목","",""
"고객","수강료는 얼마쯤?","C","학원","태권도","1","13","교육비문의","","Q","","수강료는 얼마쯤?","","","","수강료, 얼마","","","",""
"점원","태권도 주 5회 12만 원 줄넘기는 11만 원 입니다","C","학원","태권도","0","14","교육비문의","","A","","","","","태권도 주 5회 12만 원 줄넘기는 11만 원 입니다","태권도, 주 5회, 12만 원, 줄넘기, 11만 원","","태권도/과목, 주 5회/횟수, 12만 원/금액, 줄넘기/과목, 11만 원/금액","",""
"고객","토 일은 쉬고?","C","학원","태권도","1","15","학원방학휴일문의","","Q","","토 일은 쉬고?","","","","토, 일","","토/요일, 일/요일","",""
"점원","평일만 합니다","C","학원","태권도","0","16","학원방학휴일문의","","A","","","","","평일만 합니다","평일","","평일/날짜","",""
