"SPEAKER","SENTENCE","DOMAINID","DOMAIN","CATEGORY","SPEAKERID","SENTENCEID","MAIN","SUB","QA","QACNCT","MQ","SQ","UA","SA","개체명","용어사전","지식베이스",""
"고객","호텔 편의시설은 어떤 것이 있어요?","G","숙박","호텔","1","11","호텔內편의시설문의","","Q","","호텔 편의시설은 어떤 것이 있어요?","","","","호텔,편의시설","","호텔/서비스 업체",""
"점원","사우나 정도 하실 수 있는 부띠끄 호텔이라고 생각하시면 돼요","G","숙박","호텔","0","12","호텔內편의시설문의","","A","","","","","사우나 정도 하실 수 있는 부띠끄 호텔이라고 생각하시면 돼요","사우나,부띠끄 호텔","","사우나/목욕탕,부띠끄 호텔/호텔",""
"고객","사우나를 이용할 수 있는 시간이 따로 있죠?","G","숙박","호텔","1","13","부대시설이용시간문의","","Q","","사우나를 이용할 수 있는 시간이 따로 있죠?","","","","사우나,시간","","사우나/목욕탕",""
"점원","사우나는 아침 다섯 시부터 밤 여덟 시까지 해요","G","숙박","호텔","0","14","부대시설이용시간문의","","A","","","","","사우나는 아침 다섯 시부터 밤 여덟 시까지 해요","사우나,아침,다섯 시,밤,여덟 시","","사우나/목욕탕,아침/시간,다섯 시/시간,밤/시간,여덟 시/시간",""
"고객","결제할 때 카카오페이가 가능한가요?","G","숙박","호텔","1","15","결제방법문의","","Q","","결제할 때 카카오페이가 가능한가요?","","","","결제,카카오페이","","카카오페이/결제수단",""
"점원","저희는 카카오페이 안 돼요","G","숙박","호텔","0","16","결제방법문의","","A","","","","","저희는 카카오페이 안 돼요","카카오페이","","카카오페이/결제수단",""
"고객","배달음식 같은 거 시켜 먹을 수 있나요?","G","숙박","호텔","1","17","배달음식문의","","Q","","배달음식 같은 거 시켜 먹을 수 있나요?","","","","배달음식","","",""
"점원","네, 배달음식 시켜 드시면 돼요","G","숙박","호텔","0","18","배달음식문의","","A","","","","","네, 배달음식 시켜 드시면 돼요","배달음식","","",""
"고객","전자레인지나 인덕션 컴퓨터 같은 거 있나요?","G","숙박","호텔","1","19","비치품목문의","","Q","","전자레인지나 인덕션 컴퓨터 같은 거 있나요?","","","","전자레인지,인덕션,컴퓨터","","전자레인지/전자제품,인덕션/전자제품,컴퓨터/전자제품",""
"점원","패밀리룸 같은 경우에는 컴퓨터는 있고 인덕션은 저희는 취사 금지예요","G","숙박","호텔","0","20","비치품목문의","","A","","","","","패밀리룸 같은 경우에는 컴퓨터는 있고 인덕션은 저희는 취사 금지예요","패밀리룸,컴퓨터,인덕션,취사 금지","","패밀리룸/객실 종류,컴퓨터/전자제품,인덕션/전자제품",""
"고객","취사 금지인가요?","G","숙박","호텔","1","21","취사문의","","Q","","취사 금지인가요?","","","","취사,금지","","",""
"점원","네, 저희 호텔은 취사 금지예요","G","숙박","호텔","0","22","취사문의","","A","","","","","네, 저희 호텔은 취사 금지예요","호텔,취사,금지","","호텔/서비스 업체",""
"고객","사월 십삽일 일박 이일로 예약 가능한가요?","G","숙박","호텔","1","1","특정날짜예약문의","","Q","","사월 십삽일 일박 이일로 예약 가능한가요?","","","","사월,십삼일,일박 이일,예약","","사월/달,십삼일/날짜,일박 이일/날짜",""
"점원","사월 십삼일 말씀이신가요?","G","숙박","호텔","0","2","특정날짜예약문의","날짜확인","Q","","","사월 십삼일 말씀이신가요?","","","사월,십삼일","","사월/달,십삼일/날짜",""
"고객","예, 사월 십삼일 맞아요","G","숙박","호텔","1","3","특정날짜예약문의","날짜확인","A","","","","예, 사월 십삼일 맞아요","","사월,십삼일","","사월/달,십삼일/날짜",""
"점원","잠시만 기다리십시오, 고객님 투숙하시는 분이 총 몇 분 되나요?","G","숙박","호텔","0","4","특정날짜예약문의","인원수문의","Q","","","잠시만 기다리십시오, 고객님 투숙하시는 분이 총 몇 분 되나요?","","","고객님,투숙,몇 분","","몇 분/인원",""
"고객","한 여섯 명 이용하려고 하거든요","G","숙박","호텔","1","5","특정날짜예약문의","인원수문의","A","","","","한 여섯 명 이용하려고 하거든요","","여섯 명","","여섯 명/인원",""
"점원","제일 큰 객실이 사인실 스위트룸이라서 스위트룸 하나 스탠다드룸 하나 이렇게 하셔도 되고 스탠다드룸 세 개를 쓰셔도 돼요. 사월 십삼일 자 스위트룸 금액이 지금 육십일만원이고 스탠다드룸 같은 경우에는 이십일만원이에요","G","숙박","호텔","0","6","특정날짜예약문의","","A","1","","","","제일 큰 객실이 사인실 스위트룸이라서 스위트룸 하나 스탠다드룸 하나 이렇게 하셔도 되고 스탠다드룸 세 개를 쓰셔도 돼요. 사월 십삼일 자 스위트룸 금액이 지금 육십일만원이고 스탠다드룸 같은 경우에는 이십일만원이에요","객실,사인실,스위트룸,스위트룸,하나,스탠다드룸,하나,스탠다드,세 개,사월,십삼일,스위트룸,금액,육십일만원,스탠다드룸,이십일만원","","객실/방,사인실/방,스위트룸/객실 종류,하나/수량,스탠다드룸/객실 종류,세 개/수량,사월/달,십삼일/날짜,육십일만원/가격,이십일만원/가격",""
"고객","룸은 몇 개를 예약해야 하나요?","G","숙박","호텔","1","7","예약문의","","Q","","룸은 몇 개를 예약해야 하나요?","","","","룸,몇 개,예약","룸/방","방/건축물,몇 개/수량",""
"점원","방 같은 경우에는 디럭스 트윈 두 개 하시든지 스탠다드 더블 하나에 스위트룸 하나 하시는 경우도 있어요. 제 생각에는 디럭스 트윈으로 두 개 하시는 게 나을 것 같네요","G","숙박","호텔","0","8","예약문의","","A","","","","","방 같은 경우에는 디럭스 트윈 두 개 하시든지 스탠다드 더블 하나에 스위트룸 하나 하시는 경우도 있어요. 제 생각에는 디럭스 트윈으로 두 개 하시는 게 나을 것 같네요","방,디럭스 트윈,두 개,스탠다드 더블,하나,스위트룸,하나,디럭스 트윈,두 개","","방/건축물,디럭스 트윈/객실 종류,두 개/수량,스탠다드 더블/객실 종류,하나/수량,스위트룸/객실 종류",""
"고객","디럭스 트윈으로 두 개 하면 가격은 얼마인가요?","G","숙박","호텔","1","9","이용요금문의","","Q","","디럭스 트윈으로 두 개 하면 가격은 얼마인가요?","","","","디럭스 트윈,두 개,가격,얼마","","디럭스 트윈/객실 종류,두 개/수량",""
"점원","디럭스 트윈은 삼십오만원이라서 두 개 하시면 총 칠십만원이에요","G","숙박","호텔","0","10","이용요금문의","","A","","","","","디럭스 트윈은 삼십오만원이라서 두 개 하시면 총 칠십만원이에요","디럭스 트윈,삼십오만원,두 개,칠십만원","","디럭스 트윈/객실 종류,삼십오만원/가격,두 개/수량,칠십만원/가격",""
"고객","제휴 할인되는 카드 있나요?","G","숙박","호텔","1","11","할인문의","","Q","","제휴 할인되는 카드 있나요?","","","","제휴 할인,카드","","제휴 할인/할인,카드/결제수단",""
"점원","제휴 할인 카드는 없고 조금 저렴하게 예약하시려면 인터넷 사이트로 하시는 편이 나아요","G","숙박","호텔","0","12","할인문의","","A","","","","","제휴 할인 카드는 없고 조금 저렴하게 예약하시려면 인터넷 사이트로 하시는 편이 나아요","제휴 할인 카드,예약,인터넷 사이트","","제휴 할인 카드/결제수단,인터넷 사이트/컴퓨터",""
"고객","체크인 시간은 몇 시부터인가요?","G","숙박","호텔","1","13","체크인시간문의","","Q","","체크인 시간은 몇 시부터인가요?","","","","체크인 시간,몇 시","","체크인 시간/시간",""
"점원","체크인은 오후 세 시부터 가능하세요","G","숙박","호텔","0","14","체크인시간문의","","A","","","","","체크인은 오후 세 시부터 가능하세요","체크인,오후,세 시","","체크인/호텔,오후/시간,세 시/시간",""
"고객","체크아웃은 몇 시까지인가요?","G","숙박","호텔","1","15","체크아웃시간문의","","Q","","체크아웃은 몇 시까지인가요?","","","","체크아웃,몇 시","","체크아웃/호텔",""
"점원","체크아웃은 오전 열한 시까지예요","G","숙박","호텔","0","16","체크아웃시간문의","","A","","","","","체크아웃은 오전 열한 시까지예요","체크아웃,열한 시","","체크아웃/호텔,열한 시/시간",""
"고객","아까 그 말씀 주신 룸은 전망이 괜찮은 방인가요?","G","숙박","호텔","1","17","전망좋은방예약문의","","Q","","아까 그 말씀 주신 룸은 전망이 괜찮은 방인가요?","","","","룸,전망,방","룸/방","방/건축물",""
"점원","저희가 전 객실이 오션 뷰가 아니지만 아까 말씀드린 디럭스 트윈 같은 경우에는 바닷가 쪽에 있기에 뷰는 괜찮아요","G","숙박","호텔","0","18","전망좋은방예약문의","","A","","","","","저희가 전 객실이 오션 뷰가 아니지만 아까 말씀드린 디럭스 트윈 같은 경우에는 바닷가 쪽에 있기에 뷰는 괜찮아요","객실,오션 뷰,디럭스 트윈,바닷가,뷰","오션 뷰/바닷가전망","객실/건축물,오션 뷰/전망,디럭스 트윈/객실 종류",""
"고객","호텔에 편의시설이 있나요?","G","숙박","호텔","1","19","호텔內편의시설문의","","Q","","호텔에 편의시설이 있나요?","","","","호텔,편의시설","","호텔/서비스 업체",""
"점원","편의시설은 레스토랑, 사우나, 피트니스, 편의점 이렇게 사용이 가능하세요","G","숙박","호텔","0","20","호텔內편의시설문의","","A","","","","","편의시설은 레스토랑, 사우나, 피트니스, 편의점 이렇게 사용이 가능하세요","편의시설,레스토랑,사우나,피트니스,편의점","레스토랑/양식당,피트니스/피트니스 센터","양식당/음식점,사우나/목욕탕,피트니스 센터/체육관,편의점/잡화점",""
"고객","노래방도 있나요?","G","숙박","호텔","1","21","호텔內편의시설문의","","Q","","노래방도 있나요?","","","","노래방","","노래방/유흥업소",""
"점원","죄송하지만 노래방은 없어요","G","숙박","호텔","0","22","호텔內편의시설문의","","A","","","","","죄송하지만 노래방은 없어요","노래방","","노래방/유흥업소",""
"고객","사우나 있다고 하셨는데 언제 이용이 가능해요?","G","숙박","호텔","1","23","부대시설이용시간문의","","Q","","사우나 있다고 하셨는데 언제 이용이 가능해요?","","","","사우나","","사우나/목욕탕",""
"점원","사우나는 여섯 시부터 여덟 시까지 이용이 가능하세요","G","숙박","호텔","0","24","부대시설이용시간문의","","A","","","","","사우나는 여섯 시부터 여덟 시까지 이용이 가능하세요","사우나,여섯 시,여덟 시","","사우나/목욕탕,여섯 시/시간,여덟 시/시간",""
"고객","간단하게 해 먹을 수 있는 전자레인지가 구비되어 있나요?","G","숙박","호텔","1","25","비치품목문의","","Q","","간단하게 해 먹을 수 있는 전자레인지가 구비되어 있나요?","","","","전자레인지","","전자레인지/전자제품",""
"점원","전자레인지는 구비되어 있고 편의점을 이용하셔도 돼요","G","숙박","호텔","0","26","비치품목문의","","A","","","","","전자레인지는 구비되어 있고 편의점을 이용하셔도 돼요","전자레인지,편의점","","전자레인지/전자제품,편의점/잡화점",""
"고객","생수는 무료로 이용할 수 있나요?","G","숙박","호텔","1","27","무료음료제공문의","","Q","","생수는 무료로 이용할 수 있나요?","","","","생수,무료","","생수/물",""
"점원","디럭스 트윈은 삼인 기준이라 객실 하나당 생수가 세 개씩 들어 있어요","G","숙박","호텔","0","28","무료음료제공문의","","A","","","","","디럭스 트윈은 삼인 기준이라 객실 하나당 생수가 세 개씩 들어 있어요","디럭스 트윈,삼인,객실,하나,생수,세 개","","디럭스 트윈/객실 종류,삼인/인원,객실/건축물,하나/수량,생수/물,세 개/수량",""
"고객","사월 이십일 일박 이일로 예약이 가능한가요?","G","숙박","호텔","1","1","특정날짜예약문의","","Q","","사월 이십일 일박 이일로 예약이 가능한가요?","","","","사월,이십일,일박 이일,예약","","사월/달,이십일/날짜,일박 이일/날짜",""
"점원","몇 분이신가요?","G","숙박","호텔","0","2","특정날짜예약문의","인원수문의","Q","","","몇 분이신가요?","","","몇 분","","",""
"고객","성인 두 명이요","G","숙박","호텔","1","3","특정날짜예약문의","인원수문의","A","","","","성인 두 명이요","","성인,두 명","","성인/연령대,두 명/인원",""
"점원","일반 스탠다드룸 말씀하시는 건가요?","G","숙박","호텔","0","4","특정날짜예약문의","객실공간문의","Q","","","일반 스탠다드룸 말씀하시는 건가요?","","","스탠다드룸","","스탠다드룸/객실 종류",""
"고객","룸이 어떤 게 있는지 여쭤보는 거예요","G","숙박","호텔","1","5","특정날짜예약문의","객실공간문의","A","","","","룸이 어떤 게 있는지 여쭤보는 거예요","","룸","룸/방","방/건축물",""
"점원","일반 스탠다드룸은 지금 트윈은 없고 더블베드 객실이 있어요","G","숙박","호텔","0","6","특정날짜예약문의","","A","1","","","","일반 스탠다드룸은 지금 트윈은 없고 더블베드 객실이 있어요","스탠다드룸,트윈,더블베드,객실","","스탠다드룸/객실 종류,트윈/침대,더블베드/침대,객실/방",""
"고객","일반 스탠다드룸은 얼마인가요?","G","숙박","호텔","1","7","이용요금문의","","Q","","일반 스탠다드룸은 얼마인가요?","","","","스탠다드룸,얼마","","스탠다드룸/객실 종류",""
"점원","사월 이십일 하면 십사만 삼천원이에요","G","숙박","호텔","0","8","이용요금문의","","A","","","","","사월 이십일 하면 십사만 삼천원이에요","사월,이십일,십사만 삼천원","","사월/달,이십일/날짜,십사만 삼천원/가격",""
"고객","체크인 시간은 몇 시인가요?","G","숙박","호텔","1","9","체크인시간문의","","Q","","체크인 시간은 몇 시인가요?","","","","체크인 시간","","체크인 시간/시간",""
"점원","체크인 시간은 세 시에요","G","숙박","호텔","0","10","체크인시간문의","","A","","","","","체크인 시간은 세 시에요","체크인 시간,세 시","","체크인 시간/시간,세 시/시간",""
"고객","체크아웃은 몇 시인가요?","G","숙박","호텔","1","11","체크아웃시간문의","","Q","","체크아웃은 몇 시인가요?","","","","체크아웃,몇 시","","체크아웃/호텔,몇 시/시간",""
"점원","체크아웃은 열한 시까지예요","G","숙박","호텔","0","12","체크아웃시간문의","","A","","","","","체크아웃은 열한 시까지예요","체크아웃,열한 시","","체크아웃/호텔,열한 시/시간",""
"고객","공항 셔틀버스 이용할 수 있나요?","G","숙박","호텔","1","13","셔틀버스문의","","Q","","공항 셔틀버스 이용할 수 있나요?","","","","공항 셔틀버스","","공항 셔틀버스/버스",""
"점원","저희는 셔틀버스 따로 없어요","G","숙박","호텔","0","14","셔틀버스문의","","A","","","","","저희는 셔틀버스 따로 없어요","셔틀버스","","셔틀버스/버스",""
"고객","숙박비에 조식도 포함이 되어 있나요?","G","숙박","호텔","1","15","조식제공문의","","Q","","숙박비에 조식도 포함이 되어 있나요?","","","","숙박비,조식","","숙박비/비용,조식/식사",""
"점원","숙박비에 포함되어 있지 않고 조식은 성인 기준 만 이천 원이에요","G","숙박","호텔","0","16","조식제공문의","","A","","","","","숙박비에 포함되어 있지 않고 조식은 성인 기준 만 이천 원이에요","숙박비,조식,성인,만 이천 원","","숙박비/비용,조식/식사,성인/연령대,만 이천 원/가격",""
"고객","호텔에 편의시설이 있나요?","G","숙박","호텔","1","17","호텔內편의시설문의","","Q","","호텔에 편의시설이 있나요?","","","","호텔,편의시설","","호텔/서비스 업체",""
"점원","헬스장은 무료이고 사우나도 있는데 탕이 있는 사우나는 아니에요","G","숙박","호텔","0","18","호텔內편의시설문의","","A","","","","","헬스장은 무료이고 사우나도 있는데 탕이 있는 사우나는 아니에요","헬스장,무료,사우나,탕,사우나","","헬스장/체육관,사우나/목욕탕",""
"고객","사우나는 몇 시부터 몇 시까지예요?","G","숙박","호텔","1","19","부대시설이용시간문의","","Q","","사우나는 몇 시부터 몇 시까지예요?","","","","사우나,몇 시,몇 시","","사우나/목욕탕,몇 시/시간",""
"점원","사우나 이용 시간은 오전 일곱 시부터 오후 열 시까지예요","G","숙박","호텔","0","20","부대시설이용시간문의","","A","","","","","사우나 이용 시간은 오전 일곱 시부터 오후 열 시까지예요","사우나,오전,일곱 시,오후,열 시","","사우나/목욕탕,오전/시간,일곱 시/시간,오후/시간,열 시/시간",""
"고객","전자레인지나 컴퓨터가 구비되어 있나요?","G","숙박","호텔","1","21","비치품목문의","","Q","","전자레인지나 컴퓨터가 구비되어 있나요?","","","","전자레인지,컴퓨터","","전자레인지/전자제품,컴퓨터/전자제품",""
"점원","컴퓨터는 있지만, 전자레인지는 없어요","G","숙박","호텔","0","22","비치품목문의","","A","","","","","컴퓨터는 있지만, 전자레인지는 없어요","컴퓨터,전자레인지","","컴퓨터/전자제품,전자레인지/전자제품",""
"고객","배달은 되나요?","G","숙박","호텔","1","23","배달음식문의","","Q","","배달은 되나요?","","","","배달","","",""
"점원","네, 배달은 가능해요","G","숙박","호텔","0","24","배달음식문의","","A","","","","","네, 배달은 가능해요","배달","","",""
"고객","무료 음료 제공은 있나요?","G","숙박","호텔","1","25","무료음료제공문의","","Q","","무료 음료 제공은 있나요?","","","","무료 음료,제공","","무료 음료/음료",""
"점원","생수 무료로 두 병 제공되고 있어요","G","숙박","호텔","0","26","무료음료제공문의","","A","","","","","생수 무료로 두 병 제공되고 있어요","생수,무료,두 병","","생수/물,두 병/수량",""
"고객","사월 십삼일 주말 일박 이일로 예약 가능한가요?","G","숙박","호텔","1","1","특정날짜예약문의","","Q","","사월 십삼일 주말 일박 이일로 예약 가능한가요?","","","","사월,십삼일,주말,일박 이일,예약","","사월/달,십삼일/날짜,일박 이일/날짜",""
"점원","사월 십삼일 토요일 맞아요?","G","숙박","호텔","0","2","특정날짜예약문의","날짜확인","Q","","","사월 십삼일 토요일 맞아요?","","","사월,십삼일,토요일","","사월/달,십삼일/날짜,토요일/요일",""
"고객","네, 사월 십삼일 토요일이에요","G","숙박","호텔","1","3","특정날짜예약문의","날짜확인","A","","","","네, 사월 십삼일 토요일이에요","","사월,십삼일,토요일","","사월/달,십삼일/날짜,토요일/요일",""
"점원","일박 이일이세요?","G","숙박","호텔","0","4","특정날짜예약문의","기간확인","Q","","","일박 이일이세요?","","","일박 이일","","일박 이일/잘짜",""
"고객","네, 일박 이일이에요","G","숙박","호텔","1","5","특정날짜예약문의","기간확인","A","","","","네, 일박 이일이에요","","일박 이일","","일박 이일/잘짜",""
"점원","주말 온돌방은 예약이 끝났고 침대방은 예약이 가능하세요","G","숙박","호텔","0","6","특정날짜예약문의","","A","1","","","","주말 온돌방은 예약이 끝났고 침대방은 예약이 가능하세요","주말,온돌방,예약,침대방,예약","","온돌방/객실 종류,침대방/객실 종류",""
"고객","침대방 가격은 얼마인가요?","G","숙박","호텔","1","7","이용요금문의","","Q","","침대방 가격은 얼마인가요?","","","","침대방,가격,얼마","","침대방/객실 종류",""
"점원","교직원 공제 회원이세요?","G","숙박","호텔","0","8","이용요금문의","회원확인","Q","","","교직원 공제 회원이세요?","","","교직원 공제 회원","","교직원 공제 회원/회원",""
"고객","교직원 공제 회원 아니에요","G","숙박","호텔","1","9","이용요금문의","회원확인","A","","","","교직원 공제 회원 아니에요","","교직원 공제 회원","","교직원 공제 회원/회원",""
"점원","일반실 토요일 가격이 전면 쪽은 십사만원, 후면 쪽은 십삼만원이에요","G","숙박","호텔","0","10","이용요금문의","","A","7","","","","일반실 토요일 가격이 전면 쪽은 십사만원, 후면 쪽은 십삼만원이에요","토요일,가격,십사만원,십삼만원","","토요일/요일,십사만원/가격,십삼만원/가격",""
"고객","이 가격에 조식이 포함된 건가요?","G","숙박","호텔","1","11","조식제공문의","","Q","","이 가격에 조식이 포함된 건가요?","","","","가격,조식","","조식/식사",""
"점원","아니요, 조식은 추가 결제인데, 두 분이 삼만원 추가하면 뷔페도 이용 가능하세요","G","숙박","호텔","0","12","조식제공문의","","A","","","","","아니요, 조식은 추가 결제인데, 두 분이 삼만원 추가하면 뷔페도 이용 가능하세요","조식,추가 결제,두 분,삼만원,추가,뷔페","","조식/식사,추가 결제/결제 종류,두 분/인원,삼만원/가격,뷔페/상차림",""
"고객","조식 뷔페은 몇 시부터 이용이 가능한가요?","G","숙박","호텔","1","13","부대시설이용시간문의","","Q","","조식 뷔페은 몇 시부터 이용이 가능한가요?","","","","조식,뷔페,몇 시","","조식/식사,뷔페/상차림",""
"점원","조식 뷔페 시간은 일곱 시부터 열 시까지 이용이 가능하세요","G","숙박","호텔","0","14","부대시설이용시간문의","","A","","","","","조식 뷔페 시간은 일곱 시부터 열 시까지 이용이 가능하세요","조식,뷔페,일곱 시,열 시","","조식/식사,뷔페/상차림.일곱 시/시간,열 시/시간",""
"고객","구비되어 있는 편의용품은 리필이 가능한가요?","G","숙박","호텔","1","15","용품추가문의","","Q","","구비되어 있는 편의용품은 리필이 가능한가요?","","","","편의용품,리필","리필/리필제품","리필제품/제품",""
"점원","어떤 용품 말씀이신가요?","G","숙박","호텔","0","16","용품추가문의","용품문의","Q","","","어떤 용품 말씀이신가요?","","","용품","","",""
"고객","타월이나 룸에 구비되어 있는 물품들요","G","숙박","호텔","1","17","용품추가문의","용품문의","A","","","","타월이나 룸에 구비되어 있는 물품들요","","타월,룸,물품","룸/방","타월/수건,방/건축물",""
"점원","편의용품은 샴푸나 바디워시, 비누 정도 있는데 리필은 안 되고 샤워 타올이나 칫솔, 치약은 유료이기에 가지고 오셔야 해요","G","숙박","호텔","0","18","용품추가문의","","A","15","","","","편의용품은 샴푸나 바디워시, 비누 정도 있는데 리필은 안 되고 샤워 타올이나 칫솔, 치약은 유료이기에 가지고 오셔야 해요","편의용품,샴푸,바디워시,비누,리필,샤워 타올,칫솔,치약,유료","","편의용품/용품,샴푸/목욕용품,바디워시/목욕용품,비누/목욕용품,리필제품/제품,샤워 타올/목욕용품,칫솔/목욕용품,치약/목욕용품",""
"고객","호텔 편의시설은 어떤 것들이 있나요?","G","숙박","호텔","1","19","호텔內편의시설문의","","Q","","호텔 편의시설은 어떤 것들이 있나요?","","","","호텔,편의시설","","",""
"점원","저희 호텔 내에서는 온천 사우나, 헬스장이 있고 투숙객들은 팔천원에 이용이 가능하세요","G","숙박","호텔","0","20","호텔內편의시설문의","","A","","","","","저희 호텔 내에서는 온천 사우나, 헬스장이 있고 투숙객들은 팔천원에 이용이 가능하세요","호텔,온천 사우나,헬스장,투숙객,팔천원","","호텔/서비스 업체,온천 사우나/목욕탕,헬스장/체육관,팔천원/가격",""
"고객","헬스장은 몇 시부터 이용이 가능한가요?","G","숙박","호텔","1","21","부대시설이용시간문의","","Q","","헬스장은 몇 시부터 이용이 가능한가요?","","","","헬스장,몇 시","","헬스장/체육관",""
"점원","헬스장은 새벽 여섯 시부터 저녁 여섯 시까지 이용이 가능하세요","G","숙박","호텔","0","22","부대시설이용시간문의","","A","","","","","헬스장은 새벽 여섯 시부터 저녁 여섯 시까지 이용이 가능하세요","헬스장,새벽,여섯 시,저녁,여섯 시","","헬스장/체육관,새벽/시간,여섯 시/시간,저녁/시간,여섯 시/시간",""
"고객","헬스장 같은 경우에는 유료라고 하셨죠?","G","숙박","호텔","1","23","부대시설이용요금문의","","Q","","헬스장 같은 경우에는 유료라고 하셨죠?","","","","헬스장,유료","","헬스장/체육관",""
"점원","투숙객은 헬스장과 온천 사우나까지 하시면 만삼천원이에요","G","숙박","호텔","0","24","부대시설이용요금문의","","A","","","","","투숙객은 헬스장과 온천 사우나까지 하시면 만삼천원이에요","투숙객,헬스장,온천 사우나,만삼천원","","헬스장/체육관,온천 사우나/목욕탕,만삼천원/가격",""
"고객","만삼천원, 일 인당이죠?","G","숙박","호텔","1","25","부대시설이용요금문의","","Q","","만삼천원, 일 인당이죠?","","","","만삼천원,일 인","","만삼천원/가격,일 인/인원",""
"점원","네, 일 인당 헬스장과 온천 사우나 가격이에요","G","숙박","호텔","0","26","부대시설이용요금문의","","A","","","","","네, 일 인당 헬스장과 온천 사우나 가격이에요","일 인,헬스장,온천 사우나,가격","","일 인/인원,헬스장/체육관,온천 사우나/목욕탕",""
"고객","사월 십삼일 예약이 가능한가요?","G","숙박","호텔","1","1","특정날짜예약문의","","Q","","사월 십삼일 예약이 가능한가요?","","","","사월,십삼일,예약","","사월/달,십삼일/날짜",""
"점원","십삼일 쿠폰 가지고 계신 게 있으신가요?","G","숙박","호텔","0","2","특정날짜예약문의","쿠폰확인","Q","","","십삼일 쿠폰 가지고 계신 게 있으신가요?","","","십삼일,쿠폰","","십삼일/날짜,쿠폰/교환권",""
"고객","아니요, 쿠폰은 없어요","G","숙박","호텔","1","3","특정날짜예약문의","쿠폰확인","A","","","","아니요, 쿠폰은 없어요","","쿠폰","","쿠폰/교환권",""
